treated,train,donate,student,high_income,success,age
1,1,1,0,0,1,54
0,0,1,1,0,0,25
1,1,1,0,1,0,51
1,1,1,1,1,0,24
0,0,1,0,0,0,28
1,0,0,0,1,0,25
0,0,1,1,1,0,18
0,1,0,0,0,1,33
0,0,0,1,0,0,28
0,0,0,0,0,0,44
1,1,1,0,0,1,59
0,0,0,1,0,0,25
1,1,0,0,0,0,20
1,1,0,1,1,1,20
0,0,0,1,1,0,19
0,1,1,1,1,0,23
1,1,0,1,0,0,19
1,1,1,0,0,0,26
0,0,1,0,0,0,23
1,1,1,0,0,0,32
0,0,1,0,0,0,22
1,0,0,0,0,0,22
1,0,0,0,0,0,22
1,0,1,1,0,0,22
0,0,1,0,0,0,22
1,1,1,0,0,1,26
1,0,1,0,0,0,25
0,0,1,0,0,0,19
1,0,0,1,0,0,17
1,1,1,1,0,0,18
0,0,0,0,0,0,34
0,0,1,0,0,1,20
1,1,1,0,1,0,27
0,0,1,1,0,0,17
0,0,1,1,1,0,24
1,1,1,0,0,0,25
0,0,1,1,1,0,14
0,0,0,0,1,1,20
0,0,1,1,0,0,28
0,0,0,1,0,0,16
0,0,0,1,0,0,21
0,0,1,1,1,1,19
0,0,1,1,0,1,18
0,0,1,1,1,0,18
1,1,1,1,0,1,18
0,0,1,0,0,0,24
0,0,1,1,0,1,19
0,1,1,1,0,0,22
1,1,0,0,0,0,34
0,0,0,0,1,0,26
1,1,0,0,0,0,33
0,0,1,1,0,0,25
1,0,1,1,0,0,23
0,1,0,0,1,1,19
1,0,1,1,0,0,20
1,0,1,1,0,0,23
0,0,1,0,0,0,30
1,1,1,0,1,0,31
1,1,1,0,1,0,30
0,0,1,1,0,0,21
1,0,1,0,1,0,44
0,0,1,0,0,0,24
1,0,1,1,1,0,18
1,1,1,0,0,0,18
0,0,1,1,1,0,17
0,0,0,0,1,0,17
0,1,1,0,0,0,26
0,0,0,1,0,0,29
0,0,0,0,0,0,20
1,1,1,1,1,1,18
0,0,0,0,0,1,23
0,1,1,0,1,0,21
1,1,1,0,1,0,24
0,0,1,1,0,0,32
1,1,1,0,0,0,33
0,0,1,0,0,0,24
1,0,1,0,1,0,26
1,0,1,1,0,0,19
0,0,0,1,0,0,20
0,1,0,0,0,1,22
1,0,1,1,0,0,23
0,0,1,1,1,0,27
0,0,1,1,0,0,18
1,1,1,1,1,0,20
1,1,1,1,0,0,23
0,0,1,0,0,0,26
1,0,0,0,1,0,23
0,0,1,0,1,0,21
0,0,0,1,1,0,19
1,0,1,1,0,0,21
0,0,1,0,1,0,20
0,0,1,1,1,0,20
0,0,0,1,1,0,19
0,0,1,0,1,0,30
0,1,1,0,0,0,28
0,0,1,0,0,0,27
1,1,1,1,0,1,21
0,0,1,0,0,0,26
0,0,1,1,1,1,17
0,1,1,1,1,0,22
1,1,0,0,1,0,24
0,0,0,0,1,0,31
1,0,1,0,1,0,31
0,0,1,0,1,0,22
0,1,1,1,0,1,19
1,0,1,1,1,0,24
0,0,1,0,0,0,27
0,0,1,1,1,0,20
1,1,1,1,1,1,20
1,1,0,0,1,0,24
0,0,0,1,0,0,20
1,0,0,0,1,0,26
0,0,1,0,1,0,25
1,0,1,1,0,0,18
1,1,1,1,1,0,18
0,0,1,1,0,0,16
0,0,1,1,0,0,18
0,0,1,1,1,0,18
0,0,0,1,1,0,19
0,0,0,0,0,0,22
0,0,0,0,0,1,21
0,1,0,0,0,0,22
1,1,0,1,0,0,20
1,1,1,0,1,0,25
0,0,1,0,0,0,42
1,1,1,0,0,0,32
0,0,0,0,0,0,30
1,0,0,1,1,0,22
0,0,1,1,1,0,19
0,1,0,1,0,1,18
1,0,1,0,0,0,20
1,0,1,1,0,0,24
0,0,1,0,1,0,26
0,0,1,0,0,0,22
1,1,1,0,1,1,22
1,1,1,0,0,0,33
0,0,1,0,1,0,19
0,0,1,1,0,0,25
1,0,1,1,1,0,18
1,1,1,1,0,0,20
0,0,1,1,1,0,22
0,0,1,1,0,0,26
0,0,1,1,0,0,20
1,1,1,1,0,1,19
0,0,1,0,0,0,31
1,1,0,0,0,0,33
0,0,1,1,0,0,26
1,0,1,0,0,0,21
0,1,0,0,1,1,30
0,0,1,1,1,0,24
0,0,1,0,0,0,30
1,1,1,1,0,1,24
1,1,0,1,0,0,26
0,0,0,0,0,0,19
1,0,0,1,0,0,22
0,0,1,1,1,0,24
1,0,0,1,0,0,21
1,1,1,0,0,0,33
0,0,1,1,0,0,17
1,1,1,1,1,1,20
0,0,1,0,1,1,31
0,0,0,0,0,0,21
0,0,1,1,1,0,28
1,0,1,1,1,0,22
0,0,1,1,1,0,20
0,1,1,0,1,1,26
1,0,1,1,0,0,19
1,0,1,1,1,0,26
0,0,1,0,0,0,33
0,0,1,1,0,0,20
0,0,1,0,0,0,27
1,1,1,0,0,1,31
1,1,0,0,0,0,21
1,1,1,0,0,0,21
0,0,1,1,1,0,21
0,0,1,0,0,0,23
1,0,0,0,0,0,30
1,0,1,1,0,0,18
1,1,1,1,1,0,19
0,0,1,1,0,0,20
1,1,1,1,1,1,20
0,0,0,1,1,1,28
1,1,1,0,0,0,35
1,1,0,0,1,0,24
0,0,1,0,0,0,35
1,1,1,0,0,0,30
0,0,0,1,1,0,25
1,0,0,0,1,0,26
1,0,0,1,1,0,22
0,0,1,1,1,0,29
0,1,1,1,1,1,23
1,0,0,1,1,0,25
1,0,1,1,0,0,22
0,0,1,1,0,0,23
0,0,1,1,1,0,22
1,1,1,0,0,1,28
1,1,1,1,1,0,22
1,1,1,0,0,0,25
0,0,1,1,1,0,20
1,0,0,1,0,0,22
0,0,0,1,0,0,28
1,0,1,1,1,0,20
1,1,1,1,0,0,19
0,0,1,0,1,0,31
0,0,1,0,1,0,28
0,0,1,0,0,1,28
1,1,1,0,1,0,22
0,0,0,0,0,0,29
1,0,1,0,1,0,28
1,0,1,0,1,0,23
0,0,1,1,1,0,19
1,0,1,0,0,0,28
0,0,1,1,0,0,19
0,0,0,0,0,0,24
1,1,1,1,1,0,21
0,0,0,0,1,0,19
0,0,0,1,1,0,26
1,0,1,1,1,0,24
0,0,1,0,0,0,26
1,0,0,1,0,0,18
0,0,1,0,1,0,28
